Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,CB1,26.965000,split,26.965000,,88.5,88.5,23,NN,NFM,5,,,,,
2,CB2,26.975000,split,26.975000,,88.5,88.5,23,NN,NFM,5,,,,,
3,CB3,26.985000,split,26.965000,,88.5,88.5,23,NN,NFM,5,,,,,
4,CB4,27.005000,split,27.005000,,88.5,88.5,23,NN,NFM,5,,,,,
5,CB5,27.015000,split,27.015000,,88.5,88.5,23,NN,NFM,5,,,,,
6,CB6,27.025000,split,27.025000,,88.5,88.5,23,NN,NFM,5,,,,,
7,CB7,27.035000,split,27.035000,,88.5,88.5,23,NN,NFM,5,,,,,
8,CB8,27.055000,split,27.055000,,88.5,88.5,23,NN,NFM,5,,,,,
9,CB9,27.065000,split,27.065000,,88.5,88.5,23,NN,NFM,5,,,,,
10,CB10,27.075000,split,27.075000,,88.5,88.5,23,NN,NFM,5,,,,,
11,CB11,27.085000,split,27.085000,,88.5,88.5,23,NN,NFM,5,,,,,
12,CB12,27.105000,split,27.105000,,88.5,88.5,23,NN,NFM,5,,,,,
13,CB13,27.115000,split,27.115000,,88.5,88.5,23,NN,NFM,5,,,,,
14,CB14,27.125000,split,27.125000,,88.5,88.5,23,NN,NFM,5,,,,,
15,CB15,27.135000,split,27.135000,,88.5,88.5,23,NN,NFM,5,,,,,
16,CB16,27.155000,split,27.155000,,88.5,88.5,23,NN,NFM,5,,,,,
17,CB17,27.165000,split,27.165000,,88.5,88.5,23,NN,NFM,5,,,,,
18,CB18,27.175000,split,27.175000,,88.5,88.5,23,NN,NFM,5,,,,,
19,CB19,27.185000,split,27.185000,,88.5,88.5,23,NN,NFM,5,,,,,
20,CB20,27.205000,split,27.205000,,88.5,88.5,23,NN,NFM,5,,,,,
21,CB21,27.215000,split,27.215000,,88.5,88.5,23,NN,NFM,5,,,,,
22,CB22,27.225000,split,27.225000,,88.5,88.5,23,NN,NFM,5,,,,,
23,CB23,27.235000,split,27.235000,,88.5,88.5,23,NN,NFM,5,,,,,
24,CB24,27.245000,split,27.245000,,88.5,88.5,23,NN,NFM,5,,,,,
25,CB25,27.255000,split,27.255000,,88.5,88.5,23,NN,NFM,5,,,,,
26,CB26,27.265000,split,27.265000,,88.5,88.5,23,NN,NFM,5,,,,,
27,CB27,27.275000,split,27.275000,,88.5,88.5,23,NN,NFM,5,,,,,
28,CB28,27.285000,split,27.285000,,88.5,88.5,23,NN,NFM,5,,,,,
29,CB29,27.295000,split,27.295000,,88.5,88.5,23,NN,NFM,5,,,,,
30,CB30,27.305000,split,27.305000,,88.5,88.5,23,NN,NFM,5,,,,,
31,CB31,27.315000,split,27.315000,,88.5,88.5,23,NN,NFM,5,,,,,
32,CB32,27.325000,split,27.325000,,88.5,88.5,23,NN,NFM,5,,,,,
33,CB33,27.335000,split,27.335000,,88.5,88.5,23,NN,NFM,5,,,,,
34,CB34,27.345000,split,27.345000,,88.5,88.5,23,NN,NFM,5,,,,,
35,CB35,27.355000,split,27.355000,,88.5,88.5,23,NN,NFM,5,,,,,
36,CB36,27.365000,split,27.365000,,88.5,88.5,23,NN,NFM,5,,,,,
37,CB37,27.375000,split,27.375000,,88.5,88.5,23,NN,NFM,5,,,,,
38,CB38,27.385000,split,27.385000,,88.5,88.5,23,NN,NFM,5,,,,,
39,CB39,27.395000,split,27.395000,,88.5,88.5,23,NN,NFM,5,,,,,
40,CB40,27.405000,split,27.405000,,88.5,88.5,23,NN,NFM,5,,,,,
